site_name,dept,ac_code,short_code,company,post_code
Manor Service Station,6,MANBPOIL,Man,PRL,IP31 2BZ
Hen & Chicken Service Station,7,HENBPOIL,Hen,PRL,IP31 2BZ
Salterton Road Service Station,9,SALBPOIL,Sal,PRL,IP31 2BZ
Lanner Moor Garage,10,LANBPOIL,Lan,PRL,IP31 2BZ
Luton Road Service Station,11,LUTBPOIL,Lut,PRL,IP31 2BZ
Kings Lane Service Station,14,KINBPOIL,Kin,PRL,IP31 2BZ
Delph Service Station,17,DELBPOIL,Del,PRL,IP31 2BZ
Saxon Autopoint Ss,18,SAXBPOIL,Sax,PRL,IP31 2BZ
Jubits Lane Sstn,19,JUBBPOIL,Jub,PRL,IP31 2BZ
Worsley Brow,20,WORBPOIL,Wor,PRL,IP31 2BZ
Auto Pitstop,23,AUTBPOIL,Auto,PRL,IP31 2BZ
Crown Service Station,24,CROWBPOIL,Cro,PRL,IP31 2BZ
Marsland Service Station,25,MARBPOIL,Mar,PRL,IP31 2BZ
Gemini Service Station,29,GEMBPOIL,Gem,PRL,IP31 2BZ
Park View,30,PARBPOIL,Park,PRL,IP31 2BZ
Filleybrook S Stn,31,FILBPOIL,Fil,PRL,IP31 2BZ
Swan Connect,33,SWABPOIL,Swan,PRL,IP31 2BZ
Portland,34,PORBPOIL,Port,PRL,IP31 2BZ
Lower Lane,35,LOWBPOIL,Low,PRL,IP31 2BZ
Vale Service Station,36,VALBPOIL,Vale,PRL,IP31 2BZ
Kensington Service Station,37,KENBPOIL,Ken,PRL,IP31 2BZ
County Oak Service Station,38,COUBPOIL,Cou,PRL,IP31 2BZ
Kings Of Sedgley,39,SEDBPOIL,King,PRL,IP31 2BZ
Gnosall Service Station,40,GNOBPOIL,Gno,PRL,IP31 2BZ
Minsterley Service Station,41,MINBPOIL,Min,PRL,IP31 2BZ
Nelson Service Station,42,NELBPOIL,Nel,PRL,IP31 2BZ
Yeovil Service Station,43,YEOBPOIL,Yeo,PRL,IP31 2BZ
Canklow Service Station,44,CANBPOIL,Can,PRL,IP31 2BZ
Stanton Self Serve,45,STABPOIL,Sta,PRL,IP31 2BZ
West End Service Station,1,WEHBPOIL,West HW,Linwick,HP12 3AB
Dove Retail Ltd,1,DOVBPOIL,,White Rose,S75 1JU
Deamside Motor Company Ltd,1,DEABPOIL,Deamside,Deamside,S63 9AE
Ansty Cross Garage,2,ANSBPOIL,Ansty,Deamside,RH17 5AG
Market Street Service Station,1,MARBPOIL,Mar,Jbros,OL13 0AZ
Ramper Service Station,2,RAMBPOIL,Ram,Jbros,LN6 9NP
Pennine Service Station,3,PENBPOIL,Pen,Jbros,HD2 1QD
Elstow Road Service Station,4,ELSBPOIL,Elstow,Jbros,MK42 9NU
Portway Service Station,5,PORBPOIL,Portway,Jbros,MK13 8HR
Downs Service Station,6,DOWBPOIL,Down,Jbros,LU6 2PX
Woodside Garage,7,WOOBPOIL,Woodside,Jbros,NP15 1SS
Farley Green Filling Station,8,FARBPOIL,Farley,Jbros,LU1 5QA
Monkshill Service Station,10,MONBPOIL,Monk,Jbros,S63 9AP
Lockwood Filling Station,11,LOCBPOIL,Lockwood,Jbros,HD4 6EP
Burton Service Station,12,BURBPOIL,Burton,Jbros,DE15 0NX
Wittering Service Station,13,WITBPOIL,Wittering,Jbros,PE8 6HA
Bloody Oaks Service Station,14,BLOBPOIL,Bloody Oak,Jbros,PE9 4AD
Prizet South Service Station,15,PRIBPOIL,Prizet,Jbros,LA8 8AA
Souldrop Service Station,16,SOUBPOIL,Soul,Jbros,MK44 1HJ
Storrington Service Station,17,STOBPOIL,Stor,Jbros,RH20 4NF
Hawkswood Service Station,18,HAWBPOIL,Hawkswood,Jbros,BN27 1UG

